timestamp,elapsed_sec,event_type,severity,message
21:13:25,703.8,NO_FACE,CRITICAL,No face detected in frame
21:13:28,706.9,NO_FACE,CRITICAL,No face detected in frame
21:13:31,709.9,NO_FACE,CRITICAL,No face detected in frame
21:13:35,713.6,NO_FACE,CRITICAL,No face detected in frame
21:13:38,716.6,NO_FACE,CRITICAL,No face detected in frame
21:13:41,719.7,NO_FACE,CRITICAL,No face detected in frame
21:13:44,722.8,NO_FACE,CRITICAL,No face detected in frame
21:13:50,728.3,NO_FACE,CRITICAL,No face detected in frame
21:13:53,731.5,NO_FACE,CRITICAL,No face detected in frame
21:14:09,747.6,NO_FACE,CRITICAL,No face detected in frame
21:14:12,750.6,NO_FACE,CRITICAL,No face detected in frame
21:14:15,753.7,NO_FACE,CRITICAL,No face detected in frame
21:14:18,756.8,NO_FACE,CRITICAL,No face detected in frame
21:14:21,759.9,NO_FACE,CRITICAL,No face detected in frame
21:14:25,763.0,NO_FACE,CRITICAL,No face detected in frame
21:14:28,766.2,NO_FACE,CRITICAL,No face detected in frame
21:14:31,769.2,NO_FACE,CRITICAL,No face detected in frame
21:14:34,772.2,NO_FACE,CRITICAL,No face detected in frame
21:14:37,775.4,NO_FACE,CRITICAL,No face detected in frame
21:14:40,778.4,NO_FACE,CRITICAL,No face detected in frame
